"Product Name","Quantity Sold","Product SKU"
"GreyLime Power Stone – Mørkeblå – 10.400 mAh",57,P104101
"Anker Powerline MFI Lightning, 1.8 m kabel, Hvid",35,A8112H21
"GreyLime Power Slim – Sort – 4.000 mAh",32,P102602
"Anker PowerCore+ 26800 mAh Quick Charge 3.0 & PowerPort+ 1",31,B1374L11
"Lightning – 1 m hvid",31,C101001
,27,
"Anker PowerCore Speed 20000 mAh, Quick Charge 3.0 input & output, Sort",21,A1278H11
"Anker PowerCore+ 10050 mAh Quick Charge 3.0 Black",18,A1311H12
"USB-C 3.1 til USB 3.0 – 1 m sort",17,C108001
"Lightning – 2 m Hvid",17,C101002
"Anker Powerline Micro USB 0.9 m cable, Black",15,A8132H12
"Trixline LED E27 15W A60",15,"008 0000277"
"Anker PowerPort Speed Lite 5-port USB charger, Power IQ, Sort",14,A2134L11
"Trixline LED E27 10W A60",14,"008 0000291"
"Anker Powerline+ MFI Lightning, 0.9 m cable, Space Grey",12,A8121HA1
"GreyLime Power Stone – Sandfarvet – 10.400 mAh",12,P104103
"Anker Astro E1 5200 mAh Portable Charger – Sort",10,A1211H16
"Anker PowerPort+ 1 Quick Charge 3.0 & Micro USB cable",8,B2013L12
"GreyLime Power Stone – Grå – 10.400 mAh",8,P104102
"Lightning læderkabel 1 m – sort",8,C109001
"Trixline LED G9 3W",8,"008 0000297"
"Anker 24W 2-port USB Charger inkl. micro usb kabel – Sort",8,B2021L11
"Lightning læderkabel 1 m – hvid",8,C109101
"Anker PowerPort Speed 5-port USB charger 2 x quick charge",7,A2054L12
"Anker PowerDrive 2 24W 2-Port Car Charger – Sort",7,A2310H12
"Kabelpakke – Lightning",7,
"Mikro USB – 1 m Hvid",6,C103001
"GreyLime Power Tough – Sort – 2.600 mAh",6,P101101
"LED Cykellygter",5,LEDCLPB
"Anker PowerCore+ 20100 mAh USB-C power bank",5,A1371H12
"Anker Powerline Micro USB Kabel 1.8 m cable, Grå",5,A8133H11
"Anker PowerCore+ 10050 mAh Quick Charge 3.0 Silver",4,A1311H41
"GP Portable Powerbank 10.400 mAh – Sort",4,405015
"GP PowerBank Cobra 2500 mAh, Sort",4,405142
"Mikro USB – 2 m Hvid",4,C103002
"GreyLime Power PL04 – Sort – 10.000 mAh",4,P104201
"GreyLime Power Owl – Sortbrun – 7.800 mAh",4,P103102
"Phoamy – The Granite Tone – Grå",4,
"Trixline LED E14 6W P45",4,"008 0000270"
"Trixline LED A60 7W E27 – FILAMENT",4,"008 0000352"
"Anker SoundBuds Bluetooth Høretelefoner, Mikrofon, Sort",3,A3233H12
"Anker PowerDrive+ 2 med Quick Charge 3.0 Car Charger",3,A2224H11
"GreyLime Power PL04 – Hvid – 10.000 mAh",3,P104202
"Phoamy – The Business blend – Grå/Sort",3,
"GreyLime Power Tough – Sølv – 2.600 mAh",2,P101102
"Selfie-stang 78 cm – Sort",2,T101002
"GreyLime Power Stone – Mørkeblå – 7.800 mAh",2,P103501
"GP ReCyko+ 2000 Pro mAh / AA",2,201147
"GreyLime Power Solar – Blå – 8.000 mAh",2,P103304
,2,
"Anker SoundCore Portable 4.0 Bluetooth Speaker",2,A3102H11
"Phoamy – The Vivid blend – Rød/Blå",2,
"GP PowerBank Voyage 10000 mAh – Sølv",2,405090
"GreyLime Power Stone – Grå – 5.200 mAh",2,P102302
"GreyLime Power Square – Sort – 2.600 mAh",2,P101301
"RAVPower Xtreme, 27000 mAh powerbank, 220V AC & USB-C output, Black",2,RP-PB055
"GP ReCyko+ 650 mAh / AAA",2,201148
"GP PowerBank Cobra 5000 mAh, Sort",2,405143
"30 pin – 1 m Hvid",2,C102001
"GP PowerBank Cobra 10000 mAh, Sort",1,405144
"GreyLime Power Stone – Mørkeblå – 5.200 mAh",1,P102301
"30 Pin – 2 m Hvid",1,C102002
"Sandberg Outdoor Powerbank 10400 mAh",1,420-18
"GreyLime Power Stone – Grå – 7.800 mAh",1,P103502
"Magnetic 30 Pin – 22 cm Hvid",1,C102003
"RAVPower Xtreme, 20100 mAh powerbank, AC & USB-C output, Black",1,RP-PB054
"Magnetic Lightning – 22 cm",1,C101003
"GreyLime Power Stone – Mørkeblå – 2.600 mAh",1,P101501
"GreyLime Power Slim – Sølv – 4.000 mAh",1,P102601
"GreyLime Power Owl – Mørkeblå – 7.800 mAh",1,P103101
"GreyLime Power Stone – Hvid – 2.600 mAh",1,P101503
"GP ReCyko+ 2600 mAh / AA",1,201146
"GreyLime Power Owl – Sandfarvet – 7.800 mAh",1,P103103
"GreyLime Power Solar – Gul – 8.000 mAh",1,P103303
"RAVPower Extreme, 10050 mAh powerbank, Waterproof/dustproof, Black",1,RP-PB044
"Zikko PowerBag, 6000 mAh iPhone & iPad powerbank, MFI Lightning cable, Rose Gold",1,PB6000RG
"Phoamy – The Poppy Red – Rød",1,
"GP PowerBank Voyage 3000 mAh, Sort",1,405120
"Phoamy – The White Shot – Hvid",1,
"Phoamy – The Urban blend – Lyserød/Blå",1,
"GP Super Alkaline AAA batteri, 24A/LR03, 12-pak engangsbatterier",1,GP24A-2VS12
"GP PowerBank Xtreme 20000 mAh – Sort",1,405098
"GreyLime Power Tough – Sølv – 5.200 mAh",1,P102501
"GreyLime Power PL04 – Brun – 10.000 mAh",1,P104203
"iPhone 6 Plus full body cover (grå)",0,CO105002
